preference_id,user_id,preference_detail
ec248248-4236-441d-8d76-dc54ffbb4a77,d0862afb-d99f-42c3-a893-ed8d985326cd,create
3d0b752b-22e7-403d-8a9f-26e262ccf57d,50aab532-4f3a-4920-8b64-434dc7e3288d,down
92613e88-8272-499b-8717-7ea77eb591a1,50aab532-4f3a-4920-8b64-434dc7e3288d,try
9a5a50dd-4f5a-4dfa-907c-b651578a46a8,50aab532-4f3a-4920-8b64-434dc7e3288d,kid
2d118002-76e3-47a4-a855-8b42d3674864,307ae717-4f40-4be1-9a1b-354f2cbd302e,fire
b05490d1-0a9a-453a-850a-7b1845581299,307ae717-4f40-4be1-9a1b-354f2cbd302e,study
3e19198c-7ffd-4dd1-8405-8dab698b5df6,5d8e991c-61e2-4d57-98d9-7e626739f1cb,stock
e285b8bc-eeba-452e-89f2-5c01aa962e02,5d8e991c-61e2-4d57-98d9-7e626739f1cb,television
b31a211f-02fd-4539-90da-1ce2a848dbd3,2ce65475-1089-4145-8208-6de5bea8d02a,keep
e4d07212-ce25-4231-8aa6-6f52fef5263f,2ce65475-1089-4145-8208-6de5bea8d02a,along
b5fa6a8f-671e-4243-a0f4-ee2149c769f1,2ce65475-1089-4145-8208-6de5bea8d02a,so
60d9ba9b-a49b-4610-a175-9e8e199be61e,c3a1181f-c2d2-4b87-b8fe-1f85c5e9bb8b,peace
ee6d4248-8daa-4e8e-b99e-a7f9a0d0fdae,c3a1181f-c2d2-4b87-b8fe-1f85c5e9bb8b,continue
c99730e3-e131-4310-b53c-840837e75fb9,c3a1181f-c2d2-4b87-b8fe-1f85c5e9bb8b,join
519d33ae-eed2-4cef-8871-df4b8363a846,72b18b19-cfc7-429a-9c27-7da05828dec6,any
3fc550ec-a872-4218-b3b4-29ab93bf4e10,72b18b19-cfc7-429a-9c27-7da05828dec6,small
b9bafc7a-a2fc-4998-b65d-11f3a27fa4bd,72b18b19-cfc7-429a-9c27-7da05828dec6,figure
