Page_URL,page,name,image_url,price,expedia,agoda_com,hotels,number_reviews,City,Country
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,       Ace Hotel New York,https://media-cdn.tripadvisor.com/media/photo-s/1a/c4/7b/a2/lobby.jpg,212.51,259.13,240.16,259.13,2299.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,       Moxy NYC East Village,https://media-cdn.tripadvisor.com/media/photo-s/21/07/ba/6a/moxy-nyc-east-village.jpg,243.29,239.54,,239.54,715.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,       The Knickerbocker,https://media-cdn.tripadvisor.com/media/photo-s/25/ff/c7/1d/corner-junior-suite.jpg,513.07,517.32,548.7,469.92,6401.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,       Hyatt Centric Times Square New York,https://media-cdn.tripadvisor.com/media/photo-s/26/d1/ab/65/exterior.jpg,347.32,,316.28,342.91,6363.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,       Conrad New York Downtown,https://media-cdn.tripadvisor.com/media/photo-s/25/bb/1f/6c/exterior.jpg,450.16,449.66,450.31,449.66,4544.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,"       Crowne Plaza HyMidtown Manhattan, an IHG Hotel",https://media-cdn.tripadvisor.com/media/photo-s/24/3e/c8/9d/hotel-exterior.jpg,242.25,233.62,238.06,233.62,1229.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,       Best Western Premier Herald Square,https://media-cdn.tripadvisor.com/media/photo-s/23/e4/b3/a5/exterior.jpg,210.61,210.37,210.68,210.37,2805.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,       Lotte New York Palace,https://media-cdn.tripadvisor.com/media/photo-s/0c/5b/a9/5b/lotte-new-york-palace.jpg,441.08,440.59,385.85,440.59,5977.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,       Embassy Suites by Hilton New York Manhattan Times Square,https://media-cdn.tripadvisor.com/media/photo-s/12/67/2e/ab/exterior.jpg,244.19,,244.28,243.93,1200.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g60763-oa30-New_York_City_New_York-Hotels.html,2,       New York Marriott Marquis,https://media-cdn.tripadvisor.com/media/photo-s/25/3a/fe/b1/exterior.jpg,476.32,472.31,500.12,472.31,13367.0,New York City,United States
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,      DoubleTree by Hilton Dubai M square Hotel & Residences,https://media-cdn.tripadvisor.com/media/photo-s/1d/24/af/89/lobby.jpg,221.27,,,,400.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,       JW Marriott Marquis Hotel Dubai,https://media-cdn.tripadvisor.com/media/photo-s/27/68/9e/b7/exterior.jpg,450.37,450.37,451.03,,13357.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,       Four Points by Sheraton Downtown Dubai,https://media-cdn.tripadvisor.com/media/photo-s/21/8e/46/f2/hotel-exterior.jpg,167.22,,167.46,167.22,3433.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,       Sofitel Dubai the Obelisk,https://media-cdn.tripadvisor.com/media/photo-s/1c/1a/e0/2d/getlstd-property-photo.jpg,607.23,,,,1814.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,       Centara Mirage Beach Resort Dubai,https://media-cdn.tripadvisor.com/media/photo-s/26/d3/eb/df/waterslide-1.jpg,298.73,248.29,252.85,295.2,2143.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,       Sofitel Dubai The Palm,https://media-cdn.tripadvisor.com/media/photo-s/1c/d3/c2/f1/exterior-view.jpg,739.0,739.0,744.38,,11677.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,      Waldorf Astoria Dubai International Financial Centre,https://media-cdn.tripadvisor.com/media/photo-s/18/da/f5/9d/king-premier-suite-bedroom.jpg,621.31,,,,736.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,       Premier Inn Dubai International Airport Hotel,https://media-cdn.tripadvisor.com/media/photo-s/18/66/df/d0/premier-inn-dubai-internationa.jpg,135.74,,133.61,135.74,6860.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,       Rove Downtown,https://media-cdn.tripadvisor.com/media/photo-s/0b/da/44/8c/rove-downtown-dubai-rover.jpg,343.5,,,,4930.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-Dubai_Emirate_of_Dubai-Hotels.html,1,       Rove Expo Hotel,https://media-cdn.tripadvisor.com/media/photo-s/1d/d4/cf/32/rove-expo-2020-exterior.jpg,403.41,403.41,,,631.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,      DoubleTree by Hilton Dubai M square Hotel & Residences,https://media-cdn.tripadvisor.com/media/photo-s/1d/24/af/89/lobby.jpg,221.27,,,,400.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,       Raffles Dubai,https://media-cdn.tripadvisor.com/media/photo-s/26/b9/1d/d7/exterior-view.jpg,529.08,529.08,451.03,,6286.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,       Address Sky View,https://media-cdn.tripadvisor.com/media/photo-s/1a/d0/46/bc/f-day-time.jpg,1342.53,,1348.79,,1941.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,       Grand Cosmopolitan Hotel - Dubai,https://media-cdn.tripadvisor.com/media/photo-s/1c/0b/eb/5d/grand-cosmopolitan-hotel.jpg,361.53,328.71,264.47,328.71,441.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,       Studio M Arabian Plaza,https://media-cdn.tripadvisor.com/media/photo-s/25/d9/de/8b/studio-m-arabian-plaza.jpg,129.84,146.2,,146.2,1234.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,       Hilton Dubai Al Habtoor City,https://media-cdn.tripadvisor.com/media/photo-s/26/67/f3/e8/exterior.jpg,371.64,,372.19,371.64,4484.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,      Waldorf Astoria Dubai International Financial Centre,https://media-cdn.tripadvisor.com/media/photo-s/18/da/f5/9d/king-premier-suite-bedroom.jpg,621.31,,,,736.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,"       Taj Exotica Resort & Spa, The Palm, Dubai",https://media-cdn.tripadvisor.com/media/photo-s/23/57/03/c2/taj-exotica-resort-spa.jpg,686.52,686.52,615.61,,520.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,       C CENTRAL RESORT THE PALM,https://media-cdn.tripadvisor.com/media/photo-s/19/cd/17/f4/c-central-resort-the.jpg,504.43,,348.05,443.02,1666.0,Dubai,United Arab Emirates
https://www.tripadvisor.fr/Hotels-g295424-oa30-Dubai_Emirate_of_Dubai-Hotels.html,2,       Fairmont The Palm,https://media-cdn.tripadvisor.com/media/photo-s/1c/f0/16/68/pmi-271.jpg,552.7,552.7,,,10357.0,Dubai,United Arab Emirates
